Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-11-27,1.75162,1.75654,1.74861,1.75453
2019-11-28,1.75534,1.75588,1.74719,1.75061
2019-11-29,1.75146,1.75368,1.74169,1.74417
2019-12-02,1.74523,1.7703,1.74501,1.76689
2019-12-03,1.76705,1.76948,1.74667,1.75035
2019-12-04,1.75123,1.76208,1.74222,1.7555
2019-12-05,1.75528,1.76118,1.75183,1.7589
2019-12-06,1.75941,1.7715,1.75552,1.77076
2019-12-09,1.77108,1.77242,1.7643,1.76508
2019-12-10,1.76567,1.76831,1.75869,1.76543
2019-12-11,1.76614,1.76689,1.75813,1.76213
2019-12-12,1.76232,1.77251,1.74923,1.77108
2019-12-13,1.77801,1.78475,1.76204,1.76361
2019-12-16,1.76632,1.77514,1.76198,1.77413
2019-12-17,1.7725,1.77705,1.76418,1.77334
2019-12-18,1.77325,1.77391,1.76093,1.76528
2019-12-19,1.76613,1.77283,1.76242,1.7644
2019-12-20,1.76471,1.76934,1.75732,1.76139
2019-12-23,1.76029,1.76147,1.74588,1.74714
2019-12-24,1.74713,1.74817,1.73313,1.73521
2019-12-26,1.73802,1.73875,1.72102,1.72465
2019-12-27,1.7246,1.73671,1.723,1.73592
2019-12-30,1.73557,1.7413,1.73291,1.7374
2019-12-31,1.73812,1.74013,1.72623,1.73721
2020-01-02,1.73373,1.73765,1.71767,1.72286
2020-01-03,1.72319,1.72509,1.68532,1.69783
2020-01-06,1.68531,1.69197,1.65752,1.68939
2020-01-07,1.69002,1.70049,1.66589,1.66922
2020-01-08,1.66695,1.69128,1.63064,1.68579
2020-01-09,1.68577,1.70382,1.68186,1.685
2020-01-10,1.68539,1.69282,1.6819,1.68337
2020-01-13,1.68191,1.6996,1.68046,1.69932
2020-01-14,1.69912,1.713,1.69837,1.70554
2020-01-15,1.70459,1.70491,1.69117,1.69471
2020-01-16,1.69418,1.6992,1.69212,1.69564
2020-01-17,1.69548,1.69713,1.67539,1.67982
2020-01-20,1.67938,1.68098,1.67269,1.67522
2020-01-21,1.67495,1.69592,1.66561,1.68106
2020-01-22,1.68054,1.68993,1.67671,1.67914
2020-01-23,1.67893,1.68429,1.65924,1.6657
2020-01-24,1.66609,1.67331,1.64318,1.6478
2020-01-27,1.6382,1.64406,1.62484,1.62825
2020-01-28,1.6284,1.6482,1.62661,1.64749
2020-01-29,1.64679,1.64976,1.62687,1.62888
2020-01-30,1.62906,1.63341,1.62029,1.63177
2020-01-31,1.63221,1.63546,1.61982,1.62651
2020-02-03,1.61908,1.63938,1.61908,1.63227
2020-02-04,1.63178,1.66715,1.62925,1.66328
2020-02-05,1.66405,1.67286,1.65202,1.6648
2020-02-06,1.66478,1.66856,1.64449,1.64565
2020-02-07,1.64563,1.64939,1.62758,1.63096
2020-02-10,1.62921,1.6356,1.62004,1.62718
2020-02-11,1.62738,1.64277,1.62658,1.63603
2020-02-12,1.6362,1.6421,1.63042,1.63311
2020-02-13,1.63298,1.63298,1.61529,1.62033
2020-02-14,1.61948,1.62416,1.61045,1.61098
2020-02-17,1.61145,1.61629,1.60569,1.60852
2020-02-18,1.60552,1.6074,1.57703,1.5786
2020-02-19,1.57919,1.58116,1.56697,1.57014
2020-02-20,1.57069,1.57681,1.55194,1.5561
2020-02-21,1.5554,1.55807,1.53276,1.53848
2020-02-24,1.52376,1.52694,1.49072,1.51929
2020-02-25,1.51847,1.55381,1.51426,1.546
2020-02-26,1.54593,1.5497,1.5267,1.53695
2020-02-27,1.53689,1.55571,1.52875,1.54696
2020-02-28,1.54675,1.62169,1.54244,1.61667
2020-03-02,1.60363,1.62864,1.58916,1.6204
2020-03-03,1.62521,1.62642,1.57364,1.58112
